item_name,category,similarity_score,match_percentage,description,tags
AI Fundamentals Masterclass,Artificial Intelligence,0.9234,92.34,Comprehensive introduction to AI concepts history and modern applications. Covers search algorithms knowledge representation and intelligent agents.,artificial intelligence ai neural networks intelligent systems automation
Advanced Neural Networks,Artificial Intelligence,0.8876,88.76,Deep dive into neural network architectures from perceptrons to deep networks. Learn about activation functions backpropagation and optimization.,artificial intelligence ai neural networks deep learning backpropagation
ML Algorithms Bootcamp,Machine Learning,0.9123,91.23,Hands-on training with essential ML algorithms. Covers regression classification clustering and ensemble methods with real-world projects.,machine learning ml supervised unsupervised algorithms regression classification clustering
Scikit-Learn Mastery,Machine Learning,0.8956,89.56,Master the most popular Python ML library. Build pipelines tune hyperparameters and deploy models to production.,machine learning ml scikit-learn python pipelines hyperparameter tuning
Deep Learning Specialization,Deep Learning,0.9345,93.45,Complete deep learning curriculum from basics to advanced. CNNs RNNs LSTMs and Transformer architectures with TensorFlow and PyTorch.,deep learning dl neural networks cnn rnn lstm transformers tensorflow pytorch
PyTorch for Researchers,Deep Learning,0.9187,91.87,Learn PyTorch for academic and industry research. Dynamic computation graphs custom layers and cutting-edge model implementation.,deep learning dl pytorch neural networks research dynamic computation graphs
Computer Vision A-Z,Computer Vision,0.9056,90.56,From image basics to advanced object detection. Master OpenCV YOLO and modern vision transformers for real-world applications.,computer vision cv image processing object detection yolo opencv transformers
Medical Image Analysis,Computer Vision,0.8823,88.23,Apply computer vision to healthcare. Learn segmentation classification and anomaly detection on medical imaging datasets.,computer vision cv medical image segmentation classification healthcare
NLP with Transformers,NLP,0.9456,94.56,Master modern NLP using transformer architectures. Build chatbots summarizers and sentiment analysis systems with BERT and GPT.,natural language processing nlp transformers bert gpt chatbots sentiment analysis
Text Mining & Analytics,NLP,0.9123,91.23,Extract insights from text data. Topics include topic modeling named entity recognition text classification and information extraction.,natural language processing nlp text mining topic modeling named entity recognition
Data Science Professional,Data Science,0.9234,92.34,End-to-end data science workflow. Data collection cleaning analysis visualization and communication of insights using Python stack.,data science ds statistics analysis visualization pandas numpy matplotlib
Big Data Analytics,Data Science,0.8987,89.87,Work with large-scale datasets using Spark Hadoop and cloud tools. Distributed computing and scalable data processing techniques.,data science ds big data spark hadoop distributed computing scalable processing
Full Stack Web Dev,Web Development,0.8876,88.76,Build complete web applications from scratch. Frontend with React backend with Node.js database design and deployment strategies.,web development full stack frontend backend react node.js database deployment
Modern Frontend Architecture,Web Development,0.8712,87.12,Advanced frontend patterns state management performance optimization and progressive web apps with modern JavaScript frameworks.,web development frontend react vue angular state management performance pwa
Ethical Hacking Bootcamp,Cyber Security,0.9234,92.34,Learn penetration testing vulnerability assessment and security auditing. Kali Linux Metasploit and real-world attack simulations.,cybersecurity ethical hacking penetration testing kali linux metasploit security
Network Security Pro,Cyber Security,0.9056,90.56,Secure network infrastructures. Firewalls IDS/IPS VPNs encryption protocols and enterprise security architecture design.,cybersecurity network security firewalls ids ips vpn encryption enterprise
AWS Solutions Architect,Cloud Computing,0.9345,93.45,Design and deploy scalable systems on AWS. EC2 S3 Lambda RDS and cloud-native architecture patterns for enterprise applications.,cloud computing aws ec2 s3 lambda scalable architecture cloud-native
Kubernetes Mastery,Cloud Computing,0.9187,91.87,Container orchestration at scale. Deploy manage and scale containerized applications with Kubernetes Helm and Docker.,cloud computing kubernetes docker containers orchestration helm scaling devops
